Bicentenario  2018;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
FOLIO_UNICO;Sexo;Tramo_Edad;Eliminar la pobreza (1);Eliminar la pobreza (2);Eliminar la pobreza (3);Eliminar la pobreza (4);Ser un país desarrollado (1);Ser un país desarrollado (2);Ser un país desarrollado (3);Ser un país desarrollado (4);Detener el daño al medio ambiente (1);Detener el daño al medio ambiente (2);Detener el daño al medio ambiente (3);Detener el daño al medio ambiente (4)
389;1;4;9;9;3;9;9;2;9;9;9;9;3;9
390;2;4;9;2;9;9;1;9;9;9;1;9;9;9
391;1;3;1;9;9;9;9;2;9;9;9;2;9;9
392;2;5;9;2;9;9;9;2;9;9;9;2;9;9
393;2;5;9;9;3;9;9;2;9;9;9;2;9;9
394;1;3;9;2;9;9;9;2;9;9;9;2;9;9
395;2;2;9;2;9;9;9;9;3;9;9;9;3;9
396;2;5;1;9;9;9;9;2;9;9;9;9;3;9
397;1;1;9;9;3;9;9;9;9;4;9;9;9;4
398;2;3;9;2;9;9;1;9;9;9;9;9;3;9
399;2;5;1;9;9;9;9;9;3;9;9;2;9;9
400;1;2;9;2;9;9;9;2;9;9;1;9;9;9
401;1;3;9;2;9;9;9;9;3;9;1;9;9;9
402;1;1;9;2;9;9;9;2;9;9;9;2;9;9
403;2;3;9;2;9;9;9;2;9;9;9;9;3;9
404;1;1;9;2;9;9;9;2;9;9;9;2;9;9
405;2;2;9;2;9;9;9;9;3;9;9;9;3;9
406;2;1;9;9;3;9;9;9;3;9;9;2;9;9
407;1;5;9;2;9;9;9;2;9;9;9;2;9;9
408;2;4;9;9;9;9;9;9;3;9;9;9;3;9
409;1;4;1;9;9;9;9;9;3;9;1;9;9;9
410;1;4;9;2;9;9;9;9;3;9;9;2;9;9
411;1;1;9;9;3;9;9;9;3;9;9;9;3;9
412;2;5;9;9;3;9;9;9;9;4;9;9;3;9
413;2;2;9;9;3;9;9;9;9;4;9;9;3;9
414;2;5;9;2;9;9;9;9;9;4;9;9;3;9
415;1;2;1;9;9;9;9;2;9;9;9;2;9;9
416;1;4;9;2;9;9;9;2;9;9;9;9;3;9
417;2;3;9;2;9;9;9;9;3;9;9;9;3;9
418;2;4;9;9;3;9;9;9;3;9;9;9;3;9
419;2;4;9;9;3;9;9;9;3;9;9;2;9;9
420;2;2;9;9;3;9;9;2;9;9;9;2;9;9
421;2;2;9;2;9;9;9;2;9;9;9;9;3;9
422;2;4;9;9;3;9;9;9;3;9;9;2;9;9
