Bicentenario 2015;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
FOLIO;SEXO;Tramo edad;S1.-Eliminar la pobreza 1;S1.-Eliminar la pobreza 2;S1.-Eliminar la pobreza 3;S1.-Eliminar la pobreza 4;S2.-Ser un país desarrollado 1;S2.-Ser un país desarrollado 2;S2.-Ser un país desarrollado 3;S2.-Ser un país desarrollado 4;S3.-Detener el daño al medio ambiente 1;S3.-Detener el daño al medio ambiente 2;S3.-Detener el daño al medio ambiente 3;S3.-Detener el daño al medio ambiente 4
350;Mujer;4;9;9;3;9;9;2;9;9;9;2;9;9
351;Mujer;5;9;2;9;9;9;2;9;9;9;2;9;9
352;Hombre;4;9;2;9;9;9;2;9;9;9;9;3;9
353;Hombre;4;9;9;3;9;9;9;3;9;9;2;9;9
354;Hombre;3;9;2;9;9;9;2;9;9;9;2;9;9
355;Mujer;3;9;9;3;9;9;2;9;9;9;2;9;9
356;Hombre;4;9;9;3;9;9;2;9;9;9;9;3;9
357;Mujer;5;9;9;3;9;9;9;3;9;9;9;3;9
358;Hombre;4;1;9;9;9;1;9;9;9;9;2;9;9
359;Hombre;3;9;2;9;9;9;9;3;9;9;9;3;9
360;Mujer;3;9;9;3;9;9;9;3;9;9;2;9;9
361;Mujer;2;9;2;9;9;9;9;3;9;9;2;9;9
362;Mujer;5;9;2;9;9;9;9;3;9;9;2;9;9
363;Mujer;5;9;2;9;9;9;2;9;9;9;9;3;9
364;Hombre;2;1;9;9;9;9;2;9;9;9;2;9;9
365;Hombre;5;9;2;9;9;9;2;9;9;9;2;9;9
366;Mujer;4;9;2;9;9;9;2;9;9;9;9;3;9
367;Mujer;5;1;9;9;9;9;2;9;9;9;2;9;9
368;Hombre;5;9;9;3;9;9;9;3;9;9;9;3;9
369;Hombre;1;9;2;9;9;9;9;3;9;1;9;9;9
370;Mujer;2;9;2;9;9;9;2;9;9;9;2;9;9
371;Mujer;1;9;2;9;9;9;2;9;9;1;9;9;9
372;Mujer;5;1;9;9;9;9;9;3;9;9;2;9;9
373;Mujer;3;9;2;9;9;9;9;3;9;9;2;9;9
374;Mujer;5;9;2;9;9;9;2;9;9;9;2;9;9
375;Mujer;3;9;2;9;9;9;2;9;9;9;2;9;9
376;Hombre;3;9;2;9;9;9;9;3;9;9;9;3;9
377;Mujer;5;9;2;9;9;9;9;9;9;9;2;9;9
378;Hombre;4;9;2;9;9;9;9;3;9;9;2;9;9
379;Hombre;1;9;9;3;9;9;9;3;9;1;9;9;9
